"id","page_number","image_jpeg","ocr_text","ocr_improved","markdown"
38,38,,"34  LAURENS REAEL AAN LAURENS JOOSTEN BAECK(?). 1625 (1626?), 15 Mei.  Myn Heere, Mons. van den Vondele ende ick vinden ons vry wat in avance op den wisselbrieff, die ghy tot uwer quitantie aen ons geremitteert hebt, ende blyven daer over uwe dibiteurs, ende sullen ons daer voor argeren: verhopende het selve ter eerste ghe- legentheyt te salderen.  Voorts myn Heere, Ick hadde uwer E. volcomene last gheghe- ven myn ontydich schepsel wat te hervormen, soo datter gheen nieuwe volmacht van noode was. Ick en twijffele niet ofte van uwer E. handt soude iets comen, dat van beter smaeck was, hoe- wel het wat bittert. V. Erp neemt fraeykens wech de lafficheyt, die dickmael in de jockerye valt. Ende t’ bitter-heylich es t’ ghene dat my de satyren schynen te verrichten: Ten waer saecke dat heylsaem’-bitterheyt de cracht van de ghebreecken der menschen te helen, Uwe E. scheen wat beter uyt te drucken. Doch het eerste my staet beter aen ende schynt my duytserlycker te zyn. Derhal- ven sult wel doen, ende laeten het soo syn ghangh hebben.  Ende ick sal blyven Uyt Amsterdam, Uwer E. dienstbereyden Vriendt  den 15 May 1625. Laurens Reael *).  CAROLUS NIELLIUS AAN M. VEZEKIUS. 1625, 9 November.  Den Eerw. Godts. seer geleerde M. Vezekio, gevangene Jesu Christi op Loevesteyn.  Ick denck dat U.E. al verstaen heeft dat die van Rotterdam wederom last ontfangen hebben van de vergaderingen te stooren ende de Predicanten te vanghen. Doe Israéls verlossinghe wt de Aegyptische slavernij seer nabij was, begost Pharao sijne wreet- heijt te vermeerderen. Dit en brenght mij gheen groote schrick  1) 15 Mei 1625. Naar ’t handschr. i/h. Vondel-Museum, uit de verzameling- Hartkamp (Catal. No. 759).  De zin is niet duidelijk. Het betreft blijkbaar een speculatie van Reael en Vondel, wellicht in suiker, door den raffinadeur Laurens Joosten Baeck? De naam Van Erp hoort ook thuis in dezen kring, als Baecks schoondochter Margaretha v. Erp de vrouw van Joost Baeck. Verder gaat het over een hekeldicht.  Literatuur: H. C. Diferee, Vondel’s Leven en Kunstontwikkeling, Amsterd. 1912. Bi. 121.  ","LAURENS REAEL AAN LAURENS JOOSTEN BAECK(?). 1625 (1626?), 15 Mei.  Myn Heere, Mons. van den Vondele ende ick vinden ons vry wat in avance op den wisselbrieff, die ghy tot uwer quitantie aen ons geremitteert hebt, ende blyven daer over uwe dibiteurs, ende sullen ons daer voor argeren: verhopende het selve ter eerste ghelegentheyt te salderen.  Voorts myn Heere, Ick hadde uwer E. volcomene last ghegheven myn ontydich schepsel wat te hervormen, soo datter gheen nieuwe volmacht van noode was. Ick en twijffele niet ofte van uwer E. handt soude iets comen, dat van beter smaeck was, hoewel het wat bittert. V. Erp neemt fraeykens wech de lafficheyt, die dickmael in de jockerye valt. Ende t’ bitter-heylich es t’ ghene dat my de satyren schynen te verrichten: Ten waer saecke dat heylsaem’-bitterheyt de cracht van de ghebreecken der menschen te helen, Uwe E. scheen wat beter uyt te drucken. Doch het eerste my staet beter aen ende schynt my duytserlycker te zyn. Derhalven sult wel doen, ende laeten het soo syn ghangh hebben.  Ende ick sal blyven Uyt Amsterdam, Uwer E. dienstbereyden Vriendt den 15 May 1625. Laurens Reael  ***** CAROLUS NIELLIUS AAN M. VEZEKIUS. 1625, 9 November.  Den Eerw. Godts. seer geleerde M. Vezekio, gevangene Jesu Christi op Loevesteyn.  Ick denck dat U.E. al verstaen heeft dat die van Rotterdam wederom last ontfangen hebben van de vergaderingen te stooren ende de Predicanten te vanghen. Doe Israéls verlossinghe wt de Aegyptische slavernij seer nabij was, begost Pharao sijne wreetheijt te vermeerderen. Dit en brenght mij gheen groote schrick",
39,39,,"35  aen: maer ben meer becommert over het wtgeven van Palamedes; daer veele Heeren haer grotelijks in sullen stooren, ende sullen *t achten voor een tweede brandende fackel, gelijck oock de vurige colomme voor op den titel staat. Het poema dunct mij treffelijck ende sinrijck gedaen. Sed an satis prudenter an satis pie, et an fructuose huiusmodi dentate scripta nunc temporis in lucem emit- tuntur vehementer dubito. Nostri Calchantes sullen dit seer tegen ons en onse gantsche sake misbruijcken, om de Regeerders op te wecken ende tot alle hardigheijt aen te hitsen. De Rechters van Palamedes een vreese aenjagende, alsoff wij alle te samen niet als wraecksucht, politique factien ende sanguinaria consilia en respireerden. En hiermede sullen de anderen alle de hardigheijt willen bedecken die men tegen ons gebruijckt. Ende men sal roe- pen dat dit een voorbode is van nieuwe conspiratie. Ick soude lie- ver sien, dat van onse zijde niet dan vreedsame, sachtmoedighe, stichtelijcke schriften wtquamen. Want ick niet en can sien wat goets noch voor onse goede sake noch tot voordeel van ’t vader- landt daer mede wtgerecht wordt, dat men tweedrachten ende verbitteringhen vermeerdert. Die meer als groot genoech sijn. Nec tamen respiciendum erat quid adversarii audire mereantur, quam quid nos loqui deceat. Doch wij en connen niet verhinderen, dat de luyden, die buijten sijn, wtbersten wat haer belieft*).  NICOLAES VAN REIGERSBERGH AAN HUGO DE GROOT *).  1625, 19 November.  Tot Amsterdam is eene tragedie geschreven geintituleerd Pala- medes, quem cassum lumine lugent; zij is verboden, hebbe die daerom niet gesien, verhaelt de naeste dingen naecktelyck.  1) Naar het hs. Bibl. Remonstr. Geref. Gem. Rotterdam, Catal. No. 1502, uitgegeven door Unger, Oud-Holland. 1887.  2) Uitgegeven door H. C. Rogge, Werken Hist. Gen. Ile Serie, No. 15, bl. 776. Nic. v. Reigersberch (1584—1654), zwager van Hugo de Groot.  Palamedes is véér het begin van Nov. 1625 verschenen. Huygens schreef in het hem geschonken exemplaar: ,,Don(atio) Auctoris. Constanter. Slusae Calend. Novemb. 1625.” Had hij het op 1 Nov. in zijn bezit, dan moet het eind October 1625 verschenen zijn.  Hugo de Groot hoopte na Maurits’ dood April 1625, uit Parijs, waar_hij als balling verbleef, weer spoedig naar Holland terug te kunnen keeren. Zijn zwager Van Reigersberch houdt hem van den toestand in het vaderland op de hoogte en bericht hem terstond over Vondels Palamedes. ","aen: maer ben meer becommert over het wtgeven van Palamedes; daer veele Heeren haer grotelijks in sullen stooren, ende sullen 't achten voor een tweede brandende fackel, gelijck oock de vurige colomme voor op den titel staat. Het poema dunct mij treffelijck ende sinrijck gedaen. Sed an satis prudenter an satis pie, et an fructuose huiusmodi dentate scripta nunc temporis in lucem emittuntur vehementer dubito. Nostri Calchantes sullen dit seer tegen ons en onse gantsche sake misbruijcken, om de Regeerders op te wecken ende tot alle hardigheijt aen te hitsen. De Rechters van Palamedes een vreese aenjagende, alsoff wij alle te samen niet als wraecksucht, politique factien ende sanguinaria consilia en respireerden. En hiermede sullen de anderen alle de hardigheijt willen bedecken die men tegen ons gebruijckt. Ende men sal roepen dat dit een voorbode is van nieuwe conspiratie. Ick soude liever sien, dat van onse zijde niet dan vreedsame, sachtmoedighe, stichtelijcke schriften wtquamen. Want ick niet en can sien wat goets noch voor onse goede sake noch tot voordeel van 't vaderlandt daer mede wtgerecht wordt, dat men tweedrachten ende verbitteringhen vermeerdert. Die meer als groot genoech sijn. Nec tamen respiciendum erat quid adversarii audire mereantur, quam quid nos loqui deceat. Doch wij en connen niet verhinderen, dat de luyden, die buijten sijn, wtbersten wat haer belieft.  ***** NICOLAES VAN REIGERSBERGH AAN HUGO DE GROOT  1625, 19 November.  Tot Amsterdam is eene tragedie geschreven geintituleerd Palamedes, quem cassum lumine lugent; zij is verboden, hebbe die daerom niet gesien, verhaelt de naeste dingen naecktelyck.",
40,40,,"36  HOOFT AAN TESSELSCHADE. 1625, 24 November. (1626?)  IlL.re Signora, mia Osser.ma,  Dovendosi hoggidi dar principio alla lettura del Tacito in casa Sr. Conradi, supplicho V.S. sia servita di farmi tenere quelle mie tradottioni del detto autore, che la havra fornito di leggere. Lequali in ogni modo non stimo che vi possuno piu servire di nulla. Et se pur V.S. desiderasse rividerle un’ altra volte saranno ogni hora al suo commando. In tanto le offerisco colla presente VHecuba mandatami hieri dal Vanden Vondel, sopra alla quale me tarda assai d’intendere la censura del pulitissimo giudicio vestro. Il che sara alla prossima visita. Facia donche Ja gratia Iddio, che conservi sempre nel calmo d’honore et prosperita V.S., alla quale humilmente recommandandomi baccio reverente la degna mano, et me l’enchino,  Iil.re signora mia Osser.ma, Di V.S. Iilre, Devoti.mo servitore  Alli 24 di Novembre 1625. P. C. Hooft *).  NICOLAAS GREVINCKHOVEN AAN PETRUS CUPUS.  Uit Fredericstadt naar Loevestein. 1625, 27 November.  Waerde, voorsienige, godtvruchtige D. Petrus Cupus, getrouwe dienstknecht Christi, ende gevangene in den Heere, op ’t slot van Loevestein.  Onlangs hebben wij hier becomen eenige exemplaren van een treur-spel, Palamedes, gemaeckt bij J. vanden Vondel, gedruckt  1) Naar het hs. Univ. Bibl. Amst. Hoofts Brieven d. v. Vioten, I, 254. Worp, Een Onwaerdeerlycke Vrouw, bl. 72.  Blijkbaar aan Tesselschade gericht. Vondels treurspel ,,De Amsteldamsche Hecuba”, in verzen vertaald naar Seneca’s Troades, is gedagteekend 6 Augus- tus 1626, Reael en Hooft hadden de proza-vertaling gemaakt.  wSr. Conradi” is Mr. Albert Coenraetsz. Burgh, die Vondel had aange- spoord de Palamedes te schrijven.  Vreemd, dat Hooft reeds 24 November 1625 Vondels Hecuba aan Tessel- schade zendt, terwijl het treurspel pas 6 Aug. 1626 in druk verscheen.  De datum van den brief zal wel moeten zijn 24 November 1626.  Worp, ,,Onwaerdeerl. Vrouw” geeft hiervan geen verklaring. ","HOOFT AAN TESSELSCHADE. 1625, 24 November. (1626?)  Ill.re Signora, mia Osser.ma,  Dovendosi hoggidi dar principio alla lettura del Tacito in casa Sr. Conradi, supplicho V.S. sia servita di farmi tenere quelle mie tradottioni del detto autore, che la havra fornito di leggere. Lequali in ogni modo non stimo che vi possuno piu servire di nulla. Et se pur V.S. desiderasse rividerle un’ altra volte saranno ogni hora al suo commando. In tanto le offerisco colla presente l’Hecuba mandatami hieri dal Vanden Vondel, sopra alla quale me tarda assai d’intendere la censura del pulitissimo giudicio vestro. Il che sara alla prossima visita. Facia donche la gratia Iddio, che conservi sempre nel calmo d’honore et prosperita V.S., alla quale humilmente recommandandomi baccio reverente la degna mano, et me l’enchino,  Ill.re signora mia Osser.ma, Di V.S. Ill.re, Devoti.mo servitore  Alli 24 di Novembre 1625. P. C. Hooft  *****  NICOLAAS GREVINCKHOVEN AAN PETRUS CUPUS.  Uit Fredericstadt naar Loevestein. 1625, 27 November.  Waerde, voorsienige, godtvruchtige D. Petrus Cupus, getrouwe dienstknecht Christi, ende gevangene in den Heere, op ’t slot van Loevestein.  Onlangs hebben wij hier becomen eenige exemplaren van een treur-spel, Palamedes, gemaeckt bij J. vanden Vondel, gedruckt",
41,41,,"32  tot Amsterdam: lof moeten sulcke geesten hebben; utinam Roma trecentos tales haberet! de gansche procedure tegen den H(eer Advocaet), wert daerin ad vivum verhaelt, ende wtgekreten voor een vadermoorderie etc.; maer sal dat so door den beugel mogen, ende comt die man onverseert daerop, ’t sal veel sijn *).  NIELLIUS AAN VEZEKIUS”). 1625, 12 December.  ... Ick ben seer verwondert geweest te verstaen, dat Vondelen sijn rechte naem voor Palamedes heeft durven stellen, daer hij in praefatione so groff ende tastelijck de Rechters aentast, ende in het geheel werck noch Agamemnon noch andere en spaert. Ick meende ganschelyck dat de naem van den autheur ende drucker gefingeert waren, mij niet connende inbeelden, dat ymant soude durven sulcken schrift voor het sijne bekennen. Nu worde ick beter onderrecht, daer ick U.E. hertelijck voor dancke, seer blijde sijnde dat men weet dat wy ofte niemant van onse verdruckte societeijt tot dat werck eenige schult hebben. Men soude het ons wttermaten qualijck affnemen. Dat nu den autheur maer wordt aengesproken voor de somma van 300 gulden, ende de accusatie soo sachte ingestelt van gesproken te hebben dinghen, die hij hadde behoren te swijghen, dunckt mij cen geeselinghe te wesen met een vossenstaert ende maeckt mij nadencken datter een an- dere constellatie aen de lucht moet wesen, die wij niet en weten. De Heere wille door sijn almachtige wijsheyt alles tot een goede wtcomst stieren... Een van de bequaemste middelen, om sulcke boecken te doen begerigh soecken ende lesen, is dat men se opent- lijck doet verbieden ... Dat is het rechte sout, om de laffe spijse een smaeck te geven. Waer van wij alrede de bevindinghe hebben. Want omdat de exemplaeren van de eerste druck over al naerstigh opgesocht sijn, so heeft men ’t nu ten twee- den mael op de perse geleyt, ende de tweede druck sonder naem van plaets of drucker, is mij alrede van Gorcum door Adriaen Helmichsen toegesonden met de Hecuba van den selven autheur, die niets in en heeft, dat met Palamedes gemeenschap  1) Naar het hs. Bibl. Remonstr. Geref. Gem. Rotterdam, Catal. No. 1200, uitgegeven door Unger, Oud-Holl. 1887.  Toont aan hoe spoedig Palamedes reeds was verspreid.  2) Naar het hs. Bibl. Remonstr. Geref. Gem. Rotterdam, Catal. No. 1503 en 1527. Uitgegeven door Unger, Oud-Holland, 1887. ","tot Amsterdam: lof moeten sulcke geesten hebben; utinam Roma trecentos tales haberet! de gansche procedure tegen den H(eer Advocaet), wert daerin ad vivum verhaelt, ende wtgekreten voor een vadermoorderie etc.; maer sal dat so door den beugel mogen, ende comt die man onverseert daerop, ’t sal veel sijn.  ***** NIELLIUS AAN VEZEKIUS. 1625, 12 December.  ... Ick ben seer verwondert geweest te verstaen, dat Vondelen sijn rechte naem voor Palamedes heeft durven stellen, daer hij in praefatione so groff ende tastelijck de Rechters aentast, ende in het geheel werck noch Agamemnon noch andere en spaert. Ick meende ganschelyck dat de naem van den autheur ende drucker gefingeert waren, mij niet connende inbeelden, dat ymant soude durven sulcken schrift voor het sijne bekennen. Nu worde ick beter onderrecht, daer ick U.E. hertelijck voor dancke, seer blijde sijnde dat men weet dat wy ofte niemant van onse verdruckte societeijt tot dat werck eenige schult hebben. Men soude het ons wttermaten qualijck affnemen. Dat nu den autheur maer wordt aengesproken voor de somma van 300 gulden, ende de accusatie soo sachte ingestelt van gesproken te hebben dinghen, die hij hadde behoren te swijghen, dunckt mij een geeselinghe te wesen met een vossenstaert ende maeckt mij nadencken datter een an- dere constellatie aen de lucht moet wesen, die wij niet en weten. De Heere wille door sijn almachtige wijsheyt alles tot een goede wtcomst stieren... Een van de bequaemste middelen, om sulcke boecken te doen begerigh soecken ende lesen, is dat men se opent- lijck doet verbieden... Dat is het rechte sout, om de laffe spijse een smaeck te geven. Waer van wij alrede de bevindinghe hebben. Want omdat de exemplaeren van de eerste druck over al naerstigh opgesocht sijn, so heeft men ’t nu ten twee- den mael op de perse geleyt, ende de tweede druck sonder naem van plaets of drucker, is mij alrede van Gorcum door Adriaen Helmichsen toegesonden met de Hecuba van den selven autheur, die niets in en heeft, dat met Palamedes gemeenschap",
1,1,,"",,
5,5,,"VONDEL-BRIEVEN ",,
6,6,,"VONDEL VOOR ZIJN SCHRIJFTAFEL.  Kopergravure in ’s dichters 70e jaar, 1657, door C. de Visscher. ",,
7,7,,"VONDEL- BRIEVEN  UIT DE XVile EEUW AAN EN OVER DEN DICHTER  VERZAMELD EN TOEGELICHT DOOR  DR. J. F. M. STERCK  Brieven zijn in ’t gemeen de eigentlijkste afbeeldingen van ’t verstandt en gemoedt der vermaerde mannen.  G. Brandt, Leeven van P. C. Hooft  WERELDBIBLIOTHEEK N.V. — AMSTERDAM-SLOTERDIJK 1935 ",,
8,8,,"DRUKKERJ EN BINDERI] VAN DE WERELDBIBLIOTHEEK ",,
28,28,,"24  Wat is een deughdigh Mensche een ciersel vander Eerden!  Oft schoon den meestendeel hem acht van kleender weerden, Zoo blinckt hy inden hoop van dit verkeerd geslacht Gelijck een gouden Sterre in ’t droefste vanden nacht:  Oft als een schoone Roos, die inde doornen struycken  Op haeren groenen steel heur bladen gaet ontluycken, Waer uyt de lentsche Bye (terwijl de Zonne straelt)  Geen doodelijck venijn, maer zoeten honigh haelt. Hoe heusch is zijnen mond! hoe heyligh zijn zijn treden! Hoe liefelijck zijn tael! hoe aengenaem zijn zeden!  Hoe statigh van gelaet! hoe matigh aenden disch!  Al watmen aen hem ziet aenmerckens weerdigh is:  Gelijck een Lely-bloem verspreyt hy zijnen reucke;  Een lesse is elcke daed, elck woord een gulden spreucke, Die aen hem wert gespeurt, die van hem wert gehoort, Al zwijght hy schoon, zoo spreeckt al watmen aen hem spoort:  Hy is een naeckt voorbeelde, oft Spiegel daer de gecken  Schaemrood in mogen zien hun schandelijcke vlecken,  Daer meed’ sy zijn besmet, daer meed’ sy zijn besmeurt:  Hy is den rechten touts, waer aen den vroomen keurt  De deughd van zijne deughd, de vroomheyd van zijn leven,  Hoe hoogh hy klimmen moet, hoe leegh hy is gebleven: Vermids den Bergh waer op de Deughd stijght inde locht, En heur gelauwert hooft maeckt inde wolcken vocht,  Zoo hooghe is en zoo steij], jae moeylijck om bestappen,  Langhs eenen engen pat, met gladde en slimme trappen, Vermids van duyzent nauw raeckt eenen op den t’sop Van dees verheven hooghte, alwaer hem zijnen kop  Met palm bevlochten wert, tot teecken dat ten lesten  Een heerelijcke Kroon den klimmers is ten besten;  Zoo hebben d’Oude noeyt noch viijt noch moeyt gespaerd  Om wisselen in Deughd des Menschen quaden aerd:  De Philosophen oft verstandige Wijs-gieren  Vervulden tot dien eynd’ het wit van hun papieren Met meen’ge schoone les, welck als een rijck Kleynood Zy wirpen yeder een, om niet, in zijnen schoot,  En door een God’lijck vuyr des yvers voorts gedreven  Bevestighden hun leer met een goed’ heyligh leven,  Als penningen, die niet van heldre munte alleen  Maer oprecht van alloey oock bloncken voor elck een. Pythagor’, Samos roem, ons leeret als de wijze Gebruycken soberheyd in dranck en oock in spijze.  Den goeden Socrates, onnoozel zonder schuld, ","Wat is een deughdigh Mensche een ciersel vander Eerden!  Oft schoon den meestendeel hem acht van kleender weerden, Zoo blinckt hy inden hoop van dit verkeerd geslacht Gelijck een gouden Sterre in ’t droefste vanden nacht:  Oft als een schoone Roos, die inde doornen struycken Op haeren groenen steel heur bladen gaet ontluycken, Waer uyt de lentsche Bye (terwijl de Zonne straelt) Geen doodelijck venijn, maer zoeten honigh haelt. Hoe heusch is zijnen mond! hoe heyligh zijn zijn treden! Hoe liefelijck zijn tael! hoe aengenaem zijn zeden! Hoe statigh van gelaet! hoe matigh aenden disch! Al watmen aen hem ziet aenmerckens weerdigh is: Gelijck een Lely-bloem verspreyt hy zijnen reucke; Een lesse is elcke daed, elck woord een gulden spreucke, Die aen hem wert gespeurt, die van hem wert gehoort, Al zwijght hy schoon, zoo spreeckt al watmen aen hem spoort: Hy is een naeckt voorbeelde, oft Spiegel daer de gecken Schaemrood in mogen zien hun schandelijcke vlecken, Daer meed’ sy zijn besmet, daer meed’ sy zijn besmeurt: Hy is den rechten touts, waer aen den vroomen keurt De deughd van zijne deughd, de vroomheyd van zijn leven, Hoe hoogh hy klimmen moet, hoe leegh hy is gebleven: Vermids den Bergh waer op de Deughd stijght inde locht, En heur gelauwert hooft maeckt inde wolcken vocht, Zoo hooghe is en zoo steijl, jae moeylijck om bestappen, Langhs eenen engen pat, met gladde en slimme trappen, Vermids van duyzent nauw raeckt eenen op den t’sop Van dees verheven hooghte, alwaer hem zijnen kop Met palm bevlochten wert, tot teecken dat ten lesten Een heerelijcke Kroon den klimmers is ten besten; Zoo hebben d’Oude noeyt noch viijt noch moeyt gespaerd Om wisselen in Deughd des Menschen quaden aerd: De Philosophen oft verstandige Wijs-gieren Vervulden tot dien eynd’ het wit van hun papieren Met meen’ge schoone les, welck als een rijck Kleynood Zy wirpen yeder een, om niet, in zijnen schoot, En door een God’lijck vuyr des yvers voorts gedreven Bevestighden hun leer met een goed’ heyligh leven, Als penningen, die niet van heldre munte alleen Maer oprecht van alloey oock bloncken voor elck een. Pythagor’, Samos roem, ons leeret als de wijze Gebruycken soberheyd in dranck en oock in spijze. Den goeden Socrates, onnoozel zonder schuld,",
